cp	minsplit	minbucket	maxdepth	ganancia_promedio
-0.3	600	20	3	52700000
-0.4	600	20	3	52700000
-0.5	600	20	3	52700000
-0.6	600	20	3	52700000
-0.7	600	20	3	52700000
-0.8	600	20	3	52700000
-0.9	600	20	3	52700000
-1	600	20	3	52700000
-0.3	600	40	3	52700000
-0.4	600	40	3	52700000
-0.5	600	40	3	52700000
-0.6	600	40	3	52700000
-0.7	600	40	3	52700000
-0.8	600	40	3	52700000
-0.9	600	40	3	52700000
-1	600	40	3	52700000
-0.3	600	60	3	53038000
-0.4	600	60	3	53038000
-0.5	600	60	3	53038000
-0.6	600	60	3	53038000
-0.7	600	60	3	53038000
-0.8	600	60	3	53038000
-0.9	600	60	3	53038000
-1	600	60	3	53038000
-0.3	600	80	3	53056000
-0.4	600	80	3	53056000
-0.5	600	80	3	53056000
-0.6	600	80	3	53056000
-0.7	600	80	3	53056000
-0.8	600	80	3	53056000
-0.9	600	80	3	53056000
-1	600	80	3	53056000
-0.3	600	100	3	53038000
-0.4	600	100	3	53038000
-0.5	600	100	3	53038000
-0.6	600	100	3	53038000
-0.7	600	100	3	53038000
-0.8	600	100	3	53038000
-0.9	600	100	3	53038000
-1	600	100	3	53038000
-0.3	600	120	3	53038000
-0.4	600	120	3	53038000
-0.5	600	120	3	53038000
-0.6	600	120	3	53038000
-0.7	600	120	3	53038000
-0.8	600	120	3	53038000
-0.9	600	120	3	53038000
-1	600	120	3	53038000
-0.3	400	20	3	52700000
-0.4	400	20	3	52700000
-0.5	400	20	3	52700000
-0.6	400	20	3	52700000
-0.7	400	20	3	52700000
-0.8	400	20	3	52700000
-0.9	400	20	3	52700000
-1	400	20	3	52700000
-0.3	400	40	3	52700000
-0.4	400	40	3	52700000
-0.5	400	40	3	52700000
-0.6	400	40	3	52700000
-0.7	400	40	3	52700000
-0.8	400	40	3	52700000
-0.9	400	40	3	52700000
-1	400	40	3	52700000
-0.3	400	60	3	53038000
-0.4	400	60	3	53038000
-0.5	400	60	3	53038000
-0.6	400	60	3	53038000
-0.7	400	60	3	53038000
-0.8	400	60	3	53038000
-0.9	400	60	3	53038000
-1	400	60	3	53038000
-0.3	400	80	3	53056000
-0.4	400	80	3	53056000
-0.5	400	80	3	53056000
-0.6	400	80	3	53056000
-0.7	400	80	3	53056000
-0.8	400	80	3	53056000
-0.9	400	80	3	53056000
-1	400	80	3	53056000
-0.3	400	100	3	53038000
-0.4	400	100	3	53038000
-0.5	400	100	3	53038000
-0.6	400	100	3	53038000
-0.7	400	100	3	53038000
-0.8	400	100	3	53038000
-0.9	400	100	3	53038000
-1	400	100	3	53038000
-0.3	400	120	3	53038000
-0.4	400	120	3	53038000
-0.5	400	120	3	53038000
-0.6	400	120	3	53038000
-0.7	400	120	3	53038000
-0.8	400	120	3	53038000
-0.9	400	120	3	53038000
-1	400	120	3	53038000
-0.3	200	20	3	52700000
-0.4	200	20	3	52700000
-0.5	200	20	3	52700000
-0.6	200	20	3	52700000
-0.7	200	20	3	52700000
-0.8	200	20	3	52700000
