cp	minsplit	minbucket	maxdepth	ganancia_promedio
-1	600	20	3	52700000
-1	600	40	3	52700000
-1	600	60	3	53038000
-1	600	80	3	53056000
-1	600	100	3	53038000
-1	600	120	3	53038000
-1	400	20	3	52700000
-1	400	40	3	52700000
-1	400	60	3	53038000
-1	400	80	3	53056000
-1	400	100	3	53038000
-1	400	120	3	53038000
-1	200	20	3	52700000
-1	200	40	3	52700000
-1	200	60	3	53038000
-1	200	80	3	53056000
-1	200	100	3	53038000
-1	200	120	3	53038000
-1	100	20	3	52700000
-1	100	40	3	52700000
-1	100	60	3	53038000
-1	100	80	3	53056000
-1	100	100	3	53038000
-1	100	120	3	53038000
-1	80	20	3	52700000
-1	80	40	3	52700000
-1	80	60	3	53038000
-1	80	80	3	53056000
-1	80	100	3	53038000
-1	80	120	3	53038000
-1	60	20	3	52700000
-1	60	40	3	52700000
-1	60	60	3	53038000
-1	60	80	3	53056000
-1	60	100	3	53038000
-1	60	120	3	53038000
-1	40	20	3	52700000
-1	40	40	3	52700000
-1	40	60	3	53038000
-1	40	80	3	53056000
-1	40	100	3	53038000
-1	40	120	3	53038000
-1	20	20	3	52700000
-1	20	40	3	52700000
-1	20	60	3	53038000
-1	20	80	3	53056000
-1	20	100	3	53038000
-1	20	120	3	53038000
-1	600	20	4	53940000
-1	600	40	4	54380000
-1	600	60	4	54656000
-1	600	80	4	54528000
-1	600	100	4	54378000
-1	600	120	4	54362000
-1	400	20	4	53940000
-1	400	40	4	54380000
-1	400	60	4	54656000
-1	400	80	4	54528000
-1	400	100	4	54378000
-1	400	120	4	54362000
-1	200	20	4	5.4e+07
-1	200	40	4	54440000
-1	200	60	4	54656000
-1	200	80	4	54528000
-1	200	100	4	54378000
-1	200	120	4	54362000
-1	100	20	4	53958000
-1	100	40	4	54398000
-1	100	60	4	54656000
-1	100	80	4	54528000
-1	100	100	4	54378000
-1	100	120	4	54362000
-1	80	20	4	54018000
-1	80	40	4	54352000
-1	80	60	4	54656000
-1	80	80	4	54528000
-1	80	100	4	54378000
-1	80	120	4	54362000
-1	60	20	4	54018000
-1	60	40	4	54352000
-1	60	60	4	54656000
-1	60	80	4	54528000
-1	60	100	4	54378000
-1	60	120	4	54362000
-1	40	20	4	54018000
-1	40	40	4	54352000
-1	40	60	4	54656000
-1	40	80	4	54528000
-1	40	100	4	54378000
-1	40	120	4	54362000
-1	20	20	4	54018000
-1	20	40	4	54352000
-1	20	60	4	54656000
-1	20	80	4	54528000
-1	20	100	4	54378000
-1	20	120	4	54362000
-1	600	20	5	55032000
-1	600	40	5	55182000
-1	600	60	5	55926000
-1	600	80	5	56132000
-1	600	100	5	56256000
-1	600	120	5	56100000
-1	400	20	5	55138000
-1	400	40	5	55288000
-1	400	60	5	55926000
-1	400	80	5	56132000
-1	400	100	5	56256000
-1	400	120	5	56100000
-1	200	20	5	54932000
-1	200	40	5	5.5e+07
-1	200	60	5	55598000
-1	200	80	5	55958000
-1	200	100	5	56256000
-1	200	120	5	56100000
-1	100	20	5	54816000
-1	100	40	5	54556000
-1	100	60	5	55598000
-1	100	80	5	55958000
-1	100	100	5	56256000
-1	100	120	5	56100000
-1	80	20	5	54604000
-1	80	40	5	54238000
-1	80	60	5	55598000
-1	80	80	5	55958000
-1	80	100	5	56256000
-1	80	120	5	56100000
-1	60	20	5	54526000
-1	60	40	5	54238000
-1	60	60	5	55598000
-1	60	80	5	55958000
-1	60	100	5	56256000
-1	60	120	5	56100000
-1	40	20	5	54526000
-1	40	40	5	54238000
-1	40	60	5	55598000
