fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230415 004332	-0.439524968134356	5635	664	9	5	51480000	1
20230415 004436	-0.70153931267123	2493	1066	20	5	50004000	2
20230415 004453	-0.21781695188547	2666	824	5	5	51315000	3
20230415 004517	-0.0973896665716892	6703	2278	9	5	50907000	4
20230415 004531	-0.951067709490599	7614	3282	4	5	49881000	5
20230415 004556	-0.38061960167106	7388	2521	14	5	50709000	6
20230415 004632	-0.890014183938911	4223	184	18	5	52065000	7
20230415 004645	0.0843459690135206	6259	399	16	5	0	8
20230415 004701	-0.517522284877487	4640	1832	5	5	50862000	9
20230415 004727	-0.108235307410359	7913	1450	18	5	50955000	10
20230415 004753	-0.678189504828437	4929	2412	13	5	50304000	11
20230415 004823	-0.545557937682606	5866	177	14	5	52524000	12
20230415 004848	-0.867436936092563	7120	848	11	5	50955000	13
20230415 004911	-0.973944059852511	7586	2990	20	5	51504000	14
20230415 004925	-0.183114870893769	3876	14	4	5	50520000	15
20230415 004948	-0.515891754883341	6927	3429	18	5	49749000	16
20230415 005017	-0.906332591107852	3787	1807	14	5	50862000	17
20230415 005051	-0.290046312920921	6738	258	20	5	51978000	18
20230415 005105	0.0996898607149757	5254	2444	20	5	0	19
20230415 005123	-0.187334677069141	7087	2680	5	5	51675000	20
20230415 005159	-0.370072960289335	1005	496	20	5	51852000	21
20230415 005233	-0.351397897471871	3429	380	16	5	51951000	22
20230415 005304	-0.94026362677287	5767	1661	20	5	50955000	23
20230415 005410	-0.500779080343471	1918	5	20	5	48912000	24
20230415 005440	-0.166387535289531	7996	1655	10	5	50955000	25
20230415 005508	-0.296087000670301	4880	2422	9	5	50304000	26
20230415 005521	-0.781326480092263	4084	4	3	5	50616000	27
20230415 005535	-0.335957933334668	1904	5	3	5	49770000	28
20230415 005619	-0.597525340464867	4075	4	20	5	49779000	29
20230415 005644	-0.151856019188928	6085	3041	20	5	51450000	30
20230415 005725	-0.755512681565933	8000	3	20	5	50709000	31
20230415 005738	-0.575355460085544	7999	19	3	5	50616000	32
20230415 005751	-0.119762266536051	7836	3917	3	5	50706000	33
20230415 005822	-0.999941090954833	4613	5	12	5	50097000	34
20230415 005912	-0.829341177583231	12	2	18	5	28200000	35
20230415 005925	-0.717447145903499	6253	5	3	5	50616000	36
20230415 005938	-0.900594891186536	6206	1	3	5	50616000	37
20230415 010015	-0.901905174012359	7992	8	18	5	50649000	38
20230415 010044	-0.491648710660377	8000	688	20	5	51642000	39
20230415 010114	-0.713288356400275	5248	996	20	5	50646000	40
20230415 010127	-0.769715407130496	7931	3901	3	5	50706000	41
20230415 010218	-0.254395160979013	524	8	20	5	48783000	42
20230415 010300	-0.393188804427602	7062	1	20	5	50847000	43
20230415 010327	-0.22689441742614	6999	2150	20	5	50796000	44
20230415 010341	-0.13148186232427	3856	1926	3	5	50706000	45
20230415 010405	-0.888090992638651	7179	3589	20	5	50706000	46
20230415 010431	-0.528529510339703	7994	794	11	5	51642000	47
20230415 010444	-0.763302729864272	6825	1139	3	5	50706000	48
20230415 010513	-0.4169006022125	3656	1825	20	5	50862000	49
20230415 010527	-0.650731824569944	3100	447	3	5	50706000	50
20230415 010540	-0.25163675475193	6758	531	3	5	50706000	51
20230415 010608	-0.334985684507193	5962	1166	20	5	50955000	52
20230415 010634	-0.999829301320121	5887	2938	17	5	51414000	53
20230415 010703	-0.896101084157791	5020	249	12	5	52437000	54
20230415 010734	-0.38401123165829	1958	974	13	5	50733000	55
20230415 010806	-0.482535182735227	6896	2	14	5	50982000	56
20230415 010830	-0.557374150516878	4073	487	8	5	50832000	57
20230415 010843	-0.43580832402121	7942	3893	3	5	50706000	58
20230415 010920	-0.547414341137802	8000	104	20	5	51921000	59
20230415 010945	-0.127387514999113	7293	2971	14	5	51393000	60
20230415 011018	-0.197264904460779	5847	377	20	5	52539000	61
20230415 011031	-0.881542834811039	4957	2478	3	5	50706000	62
20230415 011106	-0.68352384028211	4240	59	15	5	51264000	63
20230415 011136	-0.541138665406801	6072	653	17	5	51642000	64
20230415 011150	-0.375142060896453	5151	2557	3	5	50706000	65
20230415 011203	-0.528727204908935	5702	156	3	5	50706000	66
20230415 011236	-0.147776707796892	6799	418	20	5	52056000	67
20230415 011250	-0.556550442495364	7996	3088	3	5	50706000	68
20230415 011319	-0.192280978948798	7997	634	20	5	51642000	69
20230415 011339	-0.140839850502397	6057	2370	6	5	50847000	70
20230415 011411	-0.124254243801309	2575	893	20	5	50883000	71
20230415 011440	-0.181812495669239	4576	986	17	5	50646000	72
20230415 011504	-0.213121824529696	7971	3981	8	5	50706000	73
20230415 011532	-0.213925173969429	6697	42	11	5	52527000	74
20230415 011557	-0.453215595954959	7992	2397	11	5	50796000	75
20230415 011611	-0.731003383067538	3826	1910	3	5	50706000	76
20230415 011643	-0.894288940896364	5065	638	20	5	51333000	77
20230415 011721	-0.95339854255322	4411	11	17	5	49047000	78
20230415 011747	-0.999968363374489	7998	2148	11	5	50799000	79
20230415 011811	-0.883458950130053	4799	8	9	5	50175000	80
20230415 011842	-0.884143426861135	5833	324	14	5	52452000	81
20230415 011912	-0.574635264728956	7941	312	13	5	51969000	82
20230415 011937	-0.895498133245083	7997	2447	18	5	50751000	83
20230415 012005	-0.354402164080709	5752	302	11	5	52455000	84
20230415 012035	-0.761141246460789	4370	308	13	5	52020000	85
20230415 012111	-0.359485091396788	2625	374	20	5	50973000	86
20230415 012130	-0.111754272179905	502	249	5	5	52767000	87
20230415 012158	-0.120443997424412	863	429	9	5	51330000	88
20230415 012229	-0.312334037899402	5855	310	14	5	52455000	89
20230415 012243	-0.110920447806431	648	320	3	5	51054000	90
20230415 012307	-0.110800821680579	7996	3987	20	5	50706000	91
20230415 012328	-0.108029921375617	20	10	6	5	49860000	92
20230415 012347	-0.117586634443385	1272	617	5	5	52593000	93
20230415 012406	-0.336791818419212	782	390	5	5	53448000	94
20230415 012423	-0.117709569946911	7987	228	5	5	52056000	95
20230415 012441	-0.32660913554483	7916	267	5	5	52056000	96
20230415 012459	-0.393918848257142	808	403	5	5	53202000	97
20230415 012518	-0.203183675474242	687	341	5	5	53157000	98
20230415 012532	-0.999908191727078	4181	1333	3	5	50706000	99
20230415 012551	-0.282071019219308	762	376	5	5	53466000	100
20230415 012605	-0.817522324211023	7999	286	3	5	50706000	101
20230415 012622	-0.401096777614874	3603	323	5	5	52005000	102
20230415 012646	-0.23838176511909	7993	218	9	5	52029000	103
20230415 012710	-0.999986232752243	8000	3994	12	5	50706000	104
20230415 012728	-0.302759718873739	7996	3286	5	5	51231000	105
20230415 012747	-0.308838274609173	763	376	5	5	53466000	106
20230415 012805	-0.363358092331876	919	454	5	5	52065000	107
20230415 012824	-0.323652505887375	529	261	5	5	52968000	108
20230415 012843	-0.42547894114007	858	420	5	5	52248000	109
20230415 012901	-0.402125198478594	6416	3208	5	5	51273000	110
20230415 012915	-0.651419881073863	7997	3994	3	5	50706000	111
20230415 012938	-0.336000594965074	7995	3996	20	5	50706000	112
20230415 013002	-0.700208042700406	8000	4000	20	5	50706000	113
20230415 013031	-0.789036670354165	4143	2062	20	5	50559000	114
20230415 013059	-0.403886347673691	7883	342	12	5	52056000	115
20230415 013119	-0.204189457192221	7209	296	6	5	52056000	116
